"","Organization","Identification number","...3","Registration date:","Section","Subsection","(Organisation) name","Legal status:","Website address:","Head office country","Head office address","Head office city","Head office post code","Head office post box","Head office phone","Belgium office address","Belgium office city","Belgium office post code","Belgium office post box","Belgium office phone","Person with legal responsibility","Position:...20","Person in charge of EU relations","Position:...22","Goals / remit","Level of interest","EU initiatives","Relevant communication","Inter groups","Industry forums","Commission Expert Groups And Other Similar Entities (European Commission)","Number of persons involved:","Full time equivalent (FTE)","Number of EP accredited persons","Persons accredited for access to European Parliament premises","Fields of interest","Membership","Member organisations","Financial year: Start Date","Financial year: End Date","Estimate of costs (absolute amount)","Estimate of costs (as a range)","Overall budget/Turnover (absolute amount)","Overall budget/Turnover (as a range)","Customers","Procurement:","Source...45","Grants:","Source...47"
"443","World Economic Forum","389715028237-59",NA,"05/09/2017","III - Non-governmental organisations","Non-governmental organisations, platforms and networks and similar","World Economic Forum","Private Foundation","http://www.weforum.org","Switzerland","Route de la capite 91-93","Cologny","1223",NA,"(+41)228691212",NA,NA,NA,NA,NA,"Daniela Barat","Head of Legal","Renée Van Heusden","Head of Community Development, Europe","The Forum aims to improve the state of the world through engaging the foremost political, business and other leaders of society to shape global, regional and industry agendas. 
 
It is independent, impartial and not tied to any special interests. The Forum strives in all its efforts to demonstrate entrepreneurship in the global public interest while upholding the highest standards of governance. Moral and intellectual integrity is at the heart of everything it does.","global","Single market policies; data regulation; EU reform and many other initiatives","The World Economic Forum runs a ""Digital Europe - Building a Pan-European Ecosystem"" project with the aim to build bridges between local innovation ecosystem enablers, and to help making the Single Market a practical reality. In this context, it conducts research on collaboration models between start-ups and corporate players in Europe, as well as attitudes towards Fourth Industrial Revolution technologies in Europe. 
 
Other relevant publications include: the Global Competitiveness report, the Global Information and Technology Report, the Global Gender Gap report.  
 
Relevant events include the two Annual Meetings in Davos and China, as well as regional meetings all over the world.",NA,NA,"NA",1,0.5,NA,NA,"Business and Industry, Economy, finance and the euro, Agriculture and Rural Development, Humanitarian aid and civil protection, Culture and media, Budget, Trade, Competition, Consumers, Culture, International co-operation and development, Customs, Education and training, Enlargement, Employment and Social Affairs, Energy, Business and Industry, Environment, Taxation, Youth, Justice and Fundamental Rights, Single market, Maritime affairs and fisheries, Foreign affairs and security policy, Regional Policy, Research and innovation, External Relations, Trans-European Networks, Public Health, Food Safety, Digital economy and society, Sport, Transport, Climate Action, Borders and Security, Communication, Banking and financial services","https://www.weforum.org/about/our-members-and-partners","https://www.weforum.org/about/our-members-and-partners","01/07/2017","01/06/2018",NA,"0-9999",15961240,NA,NA,NA,NA,NA,NA
"444","Bertelsmann Stiftung","13571025706-27",NA,"20/04/2011","III - Non-governmental organisations","Non-governmental organisations, platforms and networks and similar","Bertelsmann Stiftung","Die Bertelsmann Stiftung ist eine selbstständige Stiftung des privaten Rechts im Sinne von Abschnitt 1 des Stiftungsgesetzes für das Land Nordrhein-Westfalen mit Sitz in Gütersloh, Deutschland.","http://www.bertelsmann-stiftung.de","Germany","Carl-Bertelsmann-Straße 256","Gütersloh","33311",NA,"(+49)52418181122","Rond-Point Robert Schuman 11 4. Etage","Brüssel","1040",NA,"(+32)22567597","Aart Jan De Geus","Vorstandsvorsitzender","Jürgen Noack","Leiter des Verbindungsbüros","Basierend auf der Überzeugung, dass Eigentum und gesellschaftliche Verantwortung einhergehen, gründete der Unternehmer Reinhard Mohn 1977 die Bertelsmann Stiftung. „Menschen bewegen, Zukunft gestalten, Teilhabe in der globalisierten Welt.“ Dieser Leitgedanke fasst die Arbeit der Bertelsmann Stiftung zusammen. Teilhabe setzt nach dem Verständnis der Stiftung handlungsfähige Menschen und eine Gesellschaft voraus, die allen faire Chancen eröffnet. 
 
Die Bertelsmann Stiftung vertraut auf die repräsentative Demokratie und die Prinzipien der Sozialen Marktwirtschaft als Organisationsform des gesellschaftlichen Zusammenlebens. Eine offene, demokratische und faire Gesellschaft wird getragen von den Grundwerten Freiheit, Solidarität und Menschlichkeit. Diese Grundwerte bilden das Fundament unserer Arbeit. Alle Menschen sollen an der zunehmend komplexen Gesellschaft teilhaben können – politisch, wirtschaftlich und kulturell.  
 
Die Programme der Bertelsmann Stiftung erschließen dafür das Wissen, vermitteln Kompetenzen und erarbeiten Problemlösungen. Dabei kooperiert die Stiftung eng mit den relevanten Entscheidungsträgern in Politik, Wirtschaft und Gesellschaft sowie öffentlichen und wissenschaftlichen Institutionen. 
 
Die Arbeit der Bertelsmann Stiftung konzentriert sich auf folgende Themenbereiche:  
 
•    Bildung verbessern 
•    Wirtschaft stärken 
•    Gesellschaft entwickeln 
•    Demokratie gestalten 
•    Gesundheit aktivieren 
•    Kultur leben 
 
In allen Tätigkeitsfeldern orientiert sich die Arbeit am Grundsatz der Nachhaltigkeit. Die weltweiten Megatrends Globalisierung, Digitalisierung, demographischer Wandel und soziale Ungleichheit fließen darüber hinaus in die Arbeit der Stiftung ein. 
 
Die Bertelsmann Stiftung ist unabhängig und unparteiisch. Als private operative Stiftung initiiert und führt sie ihre eigenen Projekte durch.","European, global, national, regional/local","• Wirtschafts- und Währungsunion 
• Handelspolitik 
• Nachbarschaftspolitik 
• EU-Erweiterung 
• Mehrjähriger Finanzrahmen 
• Europäische Bürgerinitiative","• Veröffentlichung von Studien, Policy Briefs, Büchern etc. 
• Durchführung von Veranstaltungen diverser Formate: Konferenzen, Podiumsdiskussionen, Expertenworkshops etc. 
• Bilaterale Gespräche mit Vertretern der EU-Institutionen 
 
Aktuelle Informationen werden regelmäßig auf der Website der Stiftung veröffentlicht: 
http://www.bertelsmann-stiftung.de",NA,NA,"NA",5,4.25,NA,NA,"Economy, finance and the euro, Budget, Trade, Education and training, Enlargement, Employment and Social Affairs, Single market, Regional Policy, Public Health, Migration and asylum, European Neighbourhood Policy","• Bundesverband Deutscher Stiftungen 
• European Foundation Centre 
• European League for Economic Cooperation 
• Friends of Europe 
• European Policy Centre 
• Centre for European Policy Studies 
• New Pact for Europe 
• Vision Europe 
 
Angesichts der großen Anzahl von Mitgliedschaften der Bertelsmann Stiftung beschränkt sich diese Liste auf diejenigen, die für den Anwendungsbereich des Transparenzregisters relevant sind.",NA,"01/01/2017","01/12/2017",NA,"900000-999999",134663997,NA,NA,NA,NA,NA,NA
"445","NBCUniversal","636284018907-42",NA,"24/09/2015","II - In-house lobbyists and trade/business/professional associations","Companies & groups","NBCUniversal International (NBCU)","corporation","http://www.nbcuni.com","United Kingdom","Central St Giles St Giles High Street","London","WC2H 8NU",NA,"(+44)0236186200",NA,NA,NA,NA,NA,"Andrew Hall","Head of Government and Regulatory Affairs","Gidon Freeman","Vice-President, Government and Regulatory Affairs","NBCUniversal International is a company active in the production and distribution of film and television content internationally. It is a part of Comcast Corporation, which is itself based in the US.","global","Intellectual property, culture and media policy, along with general corporate regulation issues.",NA,NA,NA,"NA",2,0.5,NA,NA,"Culture and media, Trade, Competition, Culture, Justice and Fundamental Rights, Single market, Digital economy and society","Motion Picture Association 
Association of Commercial Television 
EGTA",NA,"01/01/2017","01/12/2017",3e+05,NA,0,NA,NA,NA,NA,NA,NA
"446","Swiss Radio and Television","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Al Arabiya","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","CNN","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","China Central Television","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","NHK","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","CBS News","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","France 24","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Deutsche Welle","421591329311-65",NA,"14/12/2017","VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.","Other public or mixed entities, created by law whose purpose is to act in the public interest","Deutsche Welle (DW)","Public Service","http://dw.com","Germany","Kurt-Schumacher-Str. 3","Bonn","53113",NA,"(+49)2284290","Rue Jaques de Lalaing 28","Brussels","1040",NA,"(+32)22825112","Peter Limbourg","Director General","Patrick Leusch","Head European Affairs","Deutsche Welle (DW) is Germany’s international broadcaster. Peter Limbourg has been Director General since 2013. Around 1,500 employees and nearly as many freelancers from 60 countries work in DW’s headquarters in Bonn and main studio in Berlin. DW conveys Germany as a nation rooted in European culture and as a liberal, democratic state based on the rule of law. DW is known for its in-depth, reliable news and information and promotes exchange and understanding between the world’s cultures and people. Deutsche Welle also provides access to the German language.","global","-External Affairs 
-Development Cooperation 
-Human Rights 
-Neighborhood Policy 
-Communication with European Citizens 
-Digital Innovation and Research 
-Intellectual Rights, Copyrights, Media regulation, Internet regulation 
-Disinformation and Fake News 
-Migration and Integration","-Background information meetings with the European  
 Parliament (e.g. on media situation in Turkey, Hungary  
 and Poland) 
-Participation in hearings with the CULT Committee on     
 Freedom of Expression and Protecting Journalists (e.g.  
 Iran) 
-Participation in public consultations 
- Implementation of EC and EP funded prijects in the field of Commmunication, Media Development, Media Information Literacy and Migration and Integration",NA,NA,"NA",1,1,1,"Leusch#Patrick","Business and Industry, Humanitarian aid and civil protection, Culture and media, Culture, International co-operation and development, Education and training, Enlargement, Employment and Social Affairs, Youth, Justice and Fundamental Rights, Foreign affairs and security policy, Regional Policy, Research and innovation, External Relations, Trans-European Networks, Digital economy and society, Borders and Security, Communication, Migration and asylum, European Neighbourhood Policy","www.ebu.ch 
www.gfmd.info 
www.aib.org 
www.ard.de",NA,"01/01/2016","01/12/2016",NA,"25000-49999",338750497,NA,NA,NA,NA,736000,"Horizon 2020"
